chart_id,planet,PL9_deg,PyJHora_deg,delta_deg,delta_arcsec
PL02,Asc,163.1769,163.194167,0.017267,62.16
PL02,Jupiter,212.0383,1.396667,149.358367,537690.12
PL02,Mars,303.4389,303.746389,0.307489,1106.96
PL02,Mercury,247.2536,247.286944,0.033344,120.04
PL02,Moon,193.4372,193.456111,0.018911,68.08
PL02,Rahu,100.0628,101.229722,1.166922,4200.92
PL02,Sun,256.0061,256.0275,0.0214,77.04
PL02,Venus,217.11,217.131944,0.021944,79.0
PL03,Asc,350.6567,79.482778,88.826078,319773.88
PL03,Jupiter,211.7244,268.681944,56.957544,205047.16
PL03,Mars,303.6542,268.613611,35.040589,126146.12
PL03,Mercury,247.7819,308.643889,60.861989,219103.16
PL03,Moon,197.7125,291.792778,94.080278,338689.0
PL03,Rahu,100.1087,69.918056,30.190644,108686.32
PL03,Saturn,16.5453,275.748056,100.797244,362870.08
PL03,Sun,256.3672,336.080278,79.713078,286967.08
PL03,Venus,217.2461,22.028889,164.782789,593218.04
PL04,Asc,200.9636,200.989444,0.025844,93.04
PL04,Jupiter,339.1317,339.149167,0.017467,62.88
PL04,Mars,144.5619,144.584167,0.022267,80.16
PL04,Mercury,98.15,98.180556,0.030556,110.0
PL04,Moon,70.7033,70.718889,0.015589,56.12
PL04,Rahu,257.9533,257.538333,0.414967,1493.88
PL04,Saturn,155.855,155.228611,0.626389,2255.0
PL04,Sun,84.4261,84.448611,0.022511,81.04
PL04,Venus,126.21,126.386944,0.176944,637.0
PL05,Asc,32.923,33.781667,0.858667,3091.2
PL05,Jupiter,136.029,136.056111,0.027111,97.6
PL05,Mars,127.382,127.425556,0.043556,156.8
PL05,Mercury,166.519,166.536667,0.017667,63.6
PL05,Moon,330.542,330.564167,0.022167,79.8
PL05,Rahu,156.942,156.6075,0.3345,1204.2
PL05,Saturn,216.589,216.654722,0.065722,236.6
PL05,Sun,159.949,159.970556,0.021556,77.6
PL05,Venus,117.509,117.7,0.191,687.6
PL06,Asc,255.937,261.794444,5.857444,21086.8
PL06,Jupiter,44.771,44.946944,0.175944,633.4
PL06,Mars,271.853,271.917222,0.064222,231.2
PL06,Mercury,229.656,229.748611,0.092611,333.4
PL06,Moon,341.856,342.391667,0.535667,1928.4
PL06,Rahu,213.566,210.1625,3.4035,12252.6
PL06,Saturn,194.556,194.583056,0.027056,97.4
PL06,Sun,245.27,245.334722,0.064722,233.0
PL06,Venus,211.755,221.780278,10.025278,36091.0
PL07,Asc,3.813,3.826944,0.013944,50.2
PL07,Jupiter,205.423,305.447778,100.024778,360089.2
PL07,Mars,111.184,111.231389,0.047389,170.6
PL07,Mercury,251.531,251.570833,0.039833,143.4
PL07,Moon,273.395,273.411111,0.016111,58.0
PL07,Rahu,267.118,266.881667,0.236333,850.8
PL07,Saturn,160.857,160.663056,0.193944,698.2
PL07,Sun,271.222,271.246944,0.024944,89.8
PL07,Venus,272.355,272.118611,0.236389,851.0
PL08,Asc,337.167,156.1275,178.9605,644257.8
PL08,Jupiter,305.478,339.308611,33.830611,121790.2
PL08,Mars,111.172,147.403056,36.231056,130431.8
PL08,Mercury,251.531,106.961389,144.569611,520450.6
PL08,Moon,274.875,141.844444,133.030556,478910.0
PL08,Rahu,267.118,257.283333,9.834667,35404.8
PL08,Saturn,160.633,155.558056,5.074944,18269.8
PL08,Sun,271.352,89.04,177.688,639676.8
PL08,Venus,271.355,131.765556,139.589444,502522.0
PL09,Asc,46.107,37.486667,8.620333,31033.2
PL09,Jupiter,221.857,221.970833,0.113833,409.8
PL09,Mars,171.017,171.069722,0.052722,189.8
PL09,Mercury,143.541,134.556944,8.984056,32342.6
PL09,Moon,349.289,349.306111,0.017111,61.6
PL09,Rahu,184.589,186.028889,1.439889,5183.6
PL09,Saturn,329.724,329.738333,0.014333,51.6
PL09,Sun,117.7,117.721111,0.021111,76.0
PL09,Venus,115.835,116.0125,0.1775,639.0
PL10,Asc,263.055,243.087222,19.967778,71884.0
PL10,Jupiter,105.985,106.000556,0.015556,56.0
PL10,Mars,50.054,50.068889,0.014889,53.6
PL10,Mercury,164.347,164.367778,0.020778,74.8
PL10,Moon,72.565,72.580833,0.015833,57.0
PL10,Rahu,280.612,279.794722,0.817278,2942.2
PL10,Saturn,265.217,265.231944,0.014944,53.8
PL10,Sun,173.034,173.056389,0.022389,80.6
PL10,Venus,167.295,167.318611,0.023611,85.0
